"","NAME","Category","Proportion"
"98","Benzie","Car, truck, or van - carpooled",9.04560179416895
"99","Benzie","Public transportation (excluding taxicab)",0.834786942437079
"100","Benzie","Walked",1.17119362073262
"101","Benzie","Taxicab, motorcycle, bicycle, or other means",1.20857214054323
"102","Benzie","Worked from home",11.1014203837528
"103","Charlevoix","Car, truck, or van - drove alone",74.7538562520512
"104","Charlevoix","Car, truck, or van - carpooled",9.1975713816869
"105","Charlevoix","Public transportation (excluding taxicab)",0.33639645553003
"106","Charlevoix","Walked",1.76403019363308
"107","Charlevoix","Taxicab, motorcycle, bicycle, or other means",1.54250082047916
"108","Charlevoix","Worked from home",12.4056448966196
"109","Cheboygan","Car, truck, or van - drove alone",76.3023782559456
"110","Cheboygan","Car, truck, or van - carpooled",11.1457153642884
"111","Cheboygan","Public transportation (excluding taxicab)",0.198187995469989
"112","Cheboygan","Walked",1.27406568516421
"113","Cheboygan","Taxicab, motorcycle, bicycle, or other means",0.981502453756134
"114","Cheboygan","Worked from home",10.0981502453756
"115","Chippewa","Car, truck, or van - drove alone",76.7776598567259
"116","Chippewa","Car, truck, or van - carpooled",9.29291589280976
"117","Chippewa","Public transportation (excluding taxicab)",0.762801804192093
"118","Chippewa","Walked",3.48235606261608
"119","Chippewa","Taxicab, motorcycle, bicycle, or other means",3.22366675510746
"120","Chippewa","Worked from home",6.46059962854869
"121","Clare","Car, truck, or van - drove alone",71.9161846970703
"122","Clare","Car, truck, or van - carpooled",12.2120034132929
"123","Clare","Public transportation (excluding taxicab)",0.303403811510382
"124","Clare","Walked",2.46515596852185
"125","Clare","Taxicab, motorcycle, bicycle, or other means",2.16175215701147
"126","Clare","Worked from home",10.9414999525932
"127","Clinton","Car, truck, or van - drove alone",75.9846032272044
"128","Clinton","Car, truck, or van - carpooled",5.29965076856407
"129","Clinton","Public transportation (excluding taxicab)",0.418058069285478
"130","Clinton","Walked",1.3586887251778
"131","Clinton","Taxicab, motorcycle, bicycle, or other means",0.637283642203472
"132","Clinton","Worked from home",16.3017155675648
"133","Crawford","Car, truck, or van - drove alone",74.3192208308487
"134","Crawford","Car, truck, or van - carpooled",11.8067978533095
"135","Crawford","Public transportation (excluding taxicab)",0.735440270323991
"136","Crawford","Walked",2.623732856291
"137","Crawford","Taxicab, motorcycle, bicycle, or other means",2.0671834625323
"138","Crawford","Worked from home",8.44762472669449
"139","Delta","Car, truck, or van - drove alone",81.6913746630728
"140","Delta","Car, truck, or van - carpooled",8.8544474393531
