"Survey","County","1-unit","2-units","3-4 units","5+ units"
"2010","Montmorency","20","0","0","0"
"2011","Montmorency","7","0","0","0"
"2012","Montmorency","12","0","0","0"
"2013","Montmorency","12","0","0","0"
"2014","Montmorency","0","0","0","0"
"2015","Montmorency","0","0","0","0"
"2016","Montmorency","0","0","0","0"
"2017","Montmorency","0","0","0","0"
"2018","Montmorency","19","0","0","0"
"2019","Montmorency","0","0","0","0"
"2020","Montmorency","0","0","0","0"
"2021","Montmorency","0","0","0","0"
"2022","Montmorency","0","0","0","0"
"2023","Montmorency","0","0","0","0"
"2024","Montmorency","0","0","0","0"
"2025","Montmorency","0","0","0","0"
"2010","Muskegon","84","6","0","16"
"2011","Muskegon","93","2","0","0"
"2012","Muskegon","136","2","0","0"
"2013","Muskegon","168","16","0","0"
"2014","Muskegon","172","6","3","0"
"2015","Muskegon","241","0","0","0"
"2016","Muskegon","233","0","0","0"
"2017","Muskegon","257","0","0","0"
"2018","Muskegon","221","0","0","12"
"2019","Muskegon","339","0","0","0"
"2020","Muskegon","266","2","0","0"
"2021","Muskegon","302","26","0","0"
"2022","Muskegon","321","10","0","217"
"2023","Muskegon","308","4","0","0"
"2024","Muskegon","308","0","0","115"
"2025","Muskegon","351","0","100","0"
"2010","Newaygo","37","0","0","0"
"2011","Newaygo","45","0","0","0"
"2012","Newaygo","43","0","0","0"
"2013","Newaygo","57","0","0","0"
"2014","Newaygo","46","0","0","0"
"2015","Newaygo","73","0","0","42"
"2016","Newaygo","79","0","0","0"
"2017","Newaygo","93","0","0","0"
"2018","Newaygo","100","0","0","0"
"2019","Newaygo","130","0","0","0"
"2020","Newaygo","115","2","0","0"
"2021","Newaygo","156","0","0","0"
"2022","Newaygo","150","0","0","0"
"2023","Newaygo","144","2","0","0"
"2024","Newaygo","146","6","0","0"
"2025","Newaygo","109","2","0","0"
"2010","Oakland","959","4","26","241"
"2011","Oakland","1266","0","11","0"
"2012","Oakland","1880","6","15","0"
"2013","Oakland","2296","14","60","335"
"2014","Oakland","2114","16","49","279"
"2015","Oakland","2180","58","44","363"
"2016","Oakland","2143","60","49","944"
"2017","Oakland","2744","4","105","854"
"2018","Oakland","2482","16","71","73"
"2019","Oakland","1976","0","83","783"
"2020","Oakland","1935","14","111","415"
"2021","Oakland","2042","20","124","978"
"2022","Oakland","1797","14","98","420"
"2023","Oakland","1764","8","26","530"
"2024","Oakland","1870","8","47","961"
"2025","Oakland","1730","0","57","236"
"2010","Oceana","0","0","0","32"
"2011","Oceana","3","2","3","10"
"2012","Oceana","7","0","0","25"
"2013","Oceana","4","0","0","0"
"2014","Oceana","4","0","0","0"
"2015","Oceana","13","0","0","0"
"2016","Oceana","2","0","0","0"
"2017","Oceana","7","0","0","0"
"2018","Oceana","76","0","0","24"
"2019","Oceana","17","10","0","0"
"2020","Oceana","84","10","0","0"
"2021","Oceana","12","0","0","15"
"2022","Oceana","99","2","0","0"
"2023","Oceana","143","2","0","0"
"2024","Oceana","147","0","0","0"
"2025","Oceana","134","2","0","0"
"2010","Ogemaw","29","0","0","0"
"2011","Ogemaw","26","0","0","0"
"2012","Ogemaw","26","0","0","0"
"2013","Ogemaw","60","0","0","0"
"2014","Ogemaw","34","0","0","0"
"2015","Ogemaw","23","0","0","0"
"2016","Ogemaw","23","0","0","0"
"2017","Ogemaw","30","0","0","0"
"2018","Ogemaw","10","0","0","0"
"2019","Ogemaw","21","0","0","0"
"2020","Ogemaw","18","2","0","0"
"2021","Ogemaw","45","0","0","0"
"2022","Ogemaw","41","0","0","0"
"2023","Ogemaw","55","0","0","0"
"2024","Ogemaw","56","0","0","0"
"2025","Ogemaw","60","2","0","0"
"2010","Ontonagon","9","0","0","0"
"2011","Ontonagon","6","0","0","0"
"2012","Ontonagon","8","0","0","0"
"2013","Ontonagon","8","0","0","0"
"2014","Ontonagon","7","0","0","0"
"2015","Ontonagon","12","0","0","0"
"2016","Ontonagon","9","0","0","0"
"2017","Ontonagon","12","0","0","0"
"2018","Ontonagon","4","0","0","0"
"2019","Ontonagon","19","0","0","0"
"2020","Ontonagon","7","0","0","0"
"2021","Ontonagon","9","0","0","0"
"2022","Ontonagon","9","0","0","0"
"2023","Ontonagon","11","0","0","0"
"2024","Ontonagon","16","0","0","0"
"2025","Ontonagon","4","6","0","0"
"2010","Osceola","19","0","0","0"
"2011","Osceola","18","0","0","0"
"2012","Osceola","13","0","0","0"
"2013","Osceola","25","0","0","0"
"2014","Osceola","23","0","0","0"
"2015","Osceola","27","0","0","0"
"2016","Osceola","21","0","0","0"
"2017","Osceola","27","0","0","0"
"2018","Osceola","20","0","0","0"
"2019","Osceola","39","0","0","0"
"2020","Osceola","43","0","0","0"
"2021","Osceola","47","0","0","0"
"2022","Osceola","39","0","0","0"
"2023","Osceola","9","0","0","0"
"2024","Osceola","5","0","0","0"
"2025","Osceola","0","0","0","0"
"2010","Oscoda","15","0","0","0"
"2011","Oscoda","14","0","0","0"
"2012","Oscoda","18","0","0","0"
"2013","Oscoda","18","0","0","0"
"2014","Oscoda","13","0","0","0"
"2015","Oscoda","14","0","0","0"
"2016","Oscoda","19","0","0","0"
"2017","Oscoda","21","0","0","0"
"2018","Oscoda","20","0","0","0"
"2019","Oscoda","20","0","0","0"
"2020","Oscoda","13","0","0","0"
"2021","Oscoda","17","0","0","0"
"2022","Oscoda","25","0","0","0"
"2023","Oscoda","19","0","0","0"
"2024","Oscoda","29","0","0","0"
"2025","Oscoda","24","0","0","0"
"2010","Otsego","17","0","0","0"
"2011","Otsego","28","0","0","50"
"2012","Otsego","24","0","0","42"
"2013","Otsego","15","0","0","0"
"2014","Otsego","17","0","0","0"
"2015","Otsego","17","0","0","0"
"2016","Otsego","16","0","0","0"
"2017","Otsego","18","0","0","0"
"2018","Otsego","17","0","0","0"
"2019","Otsego","19","0","0","0"
"2020","Otsego","21","0","0","0"
"2021","Otsego","23","0","0","0"
"2022","Otsego","23","0","0","0"
"2023","Otsego","23","0","0","0"
"2024","Otsego","24","0","0","0"
"2025","Otsego","25","0","0","0"
"2010","Ottawa","395","8","0","31"
"2011","Ottawa","471","6","0","134"
"2012","Ottawa","622","6","0","143"
"2013","Ottawa","809","2","0","55"
"2014","Ottawa","843","10","0","454"
"2015","Ottawa","971","16","3","582"
"2016","Ottawa","1158","6","19","450"
"2017","Ottawa","1235","4","7","629"
"2018","Ottawa","1013","50","47","39"
"2019","Ottawa","1079","8","6","283"
"2020","Ottawa","1211","12","9","404"
"2021","Ottawa","1159","4","3","394"
"2022","Ottawa","1043","26","11","488"
"2023","Ottawa","962","18","6","347"
"2024","Ottawa","779","2","11","443"
"2025","Ottawa","868","6","55","482"
"2010","Presque Isle","20","0","0","0"
"2011","Presque Isle","17","0","0","0"
"2012","Presque Isle","22","0","0","0"
"2013","Presque Isle","16","0","0","0"
"2014","Presque Isle","18","0","0","0"
"2015","Presque Isle","1","0","0","0"
"2016","Presque Isle","1","0","0","0"
"2017","Presque Isle","26","0","0","0"
"2018","Presque Isle","38","0","0","0"
"2019","Presque Isle","36","0","0","0"
"2020","Presque Isle","35","0","0","0"
"2021","Presque Isle","47","0","0","0"
"2022","Presque Isle","41","0","0","0"
"2023","Presque Isle","43","0","0","0"
"2024","Presque Isle","46","0","0","0"
"2025","Presque Isle","50","0","0","0"
"2010","Roscommon","28","0","0","0"
"2011","Roscommon","30","0","0","0"
"2012","Roscommon","41","0","0","0"
"2013","Roscommon","42","0","0","0"
"2014","Roscommon","50","0","0","0"
"2015","Roscommon","18","0","0","0"
"2016","Roscommon","35","0","0","0"
"2017","Roscommon","31","0","0","0"
"2018","Roscommon","43","0","0","0"
"2019","Roscommon","21","0","0","0"
"2020","Roscommon","62","0","0","0"
"2021","Roscommon","64","0","0","0"
"2022","Roscommon","54","0","0","0"
"2023","Roscommon","70","0","0","0"
"2024","Roscommon","54","2","0","0"
"2025","Roscommon","75","0","0","0"
"2010","Saginaw","113","4","4","16"
"2011","Saginaw","91","0","0","86"
"2012","Saginaw","109","50","12","41"
"2013","Saginaw","128","32","0","51"
"2014","Saginaw","104","40","10","60"
"2015","Saginaw","156","62","3","161"
"2016","Saginaw","149","50","3","79"
"2017","Saginaw","182","46","15","92"
"2018","Saginaw","179","56","24","74"
"2019","Saginaw","139","4","28","77"
"2020","Saginaw","148","6","0","91"
"2021","Saginaw","180","4","11","0"
"2022","Saginaw","143","12","0","20"
"2023","Saginaw","138","40","12","0"
"2024","Saginaw","121","12","8","0"
"2025","Saginaw","141","20","8","41"
"2010","Sanilac","23","0","0","0"
"2011","Sanilac","30","0","0","0"
"2012","Sanilac","16","0","0","0"
"2013","Sanilac","33","0","0","0"
"2014","Sanilac","39","0","0","0"
"2015","Sanilac","38","0","0","0"
"2016","Sanilac","39","0","0","0"
"2017","Sanilac","51","0","0","0"
"2018","Sanilac","42","0","0","0"
"2019","Sanilac","33","0","0","0"
"2020","Sanilac","37","0","0","0"
"2021","Sanilac","60","0","0","0"
"2022","Sanilac","81","0","0","0"
"2023","Sanilac","60","0","0","7"
"2024","Sanilac","63","0","0","0"
"2025","Sanilac","74","0","0","0"
"2010","Schoolcraft","19","0","0","0"
"2011","Schoolcraft","19","0","0","0"
"2012","Schoolcraft","24","0","0","0"
"2013","Schoolcraft","18","0","0","0"
"2014","Schoolcraft","10","0","0","0"
"2015","Schoolcraft","16","0","0","0"
"2016","Schoolcraft","9","0","0","0"
"2017","Schoolcraft","6","0","0","0"
"2018","Schoolcraft","13","0","0","0"
"2019","Schoolcraft","12","0","0","0"
"2020","Schoolcraft","13","0","0","0"
"2021","Schoolcraft","15","0","0","0"
"2022","Schoolcraft","13","0","0","0"
"2023","Schoolcraft","12","0","0","0"
"2024","Schoolcraft","14","0","0","0"
"2025","Schoolcraft","12","0","0","0"
"2010","Shiawassee","29","0","0","0"
"2011","Shiawassee","26","0","0","0"
"2012","Shiawassee","19","0","0","0"
"2013","Shiawassee","23","0","0","0"
"2014","Shiawassee","18","0","0","0"
"2015","Shiawassee","27","0","0","0"
"2016","Shiawassee","40","0","0","0"
"2017","Shiawassee","46","0","0","0"
"2018","Shiawassee","65","4","0","0"
"2019","Shiawassee","55","4","0","0"
"2020","Shiawassee","71","2","0","0"
"2021","Shiawassee","55","0","0","0"
"2022","Shiawassee","71","2","0","0"
"2023","Shiawassee","61","2","0","0"
"2024","Shiawassee","65","2","0","0"
"2025","Shiawassee","55","0","0","16"
"2010","St. Clair","54","0","0","0"
"2011","St. Clair","66","0","0","0"
"2012","St. Clair","78","0","0","0"
"2013","St. Clair","91","0","0","0"
"2014","St. Clair","113","0","0","17"
"2015","St. Clair","134","0","0","0"
"2016","St. Clair","188","0","0","0"
"2017","St. Clair","223","0","0","96"
"2018","St. Clair","262","0","0","0"
"2019","St. Clair","224","0","0","114"
"2020","St. Clair","206","0","0","0"
"2021","St. Clair","255","0","0","144"
"2022","St. Clair","172","0","8","242"
"2023","St. Clair","239","2","9","45"
"2024","St. Clair","235","0","0","0"
"2025","St. Clair","219","0","0","0"
"2010","Tuscola","29","0","0","0"
"2011","Tuscola","18","0","0","0"
"2012","Tuscola","17","0","0","0"
"2013","Tuscola","32","0","0","0"
"2014","Tuscola","23","0","0","0"
"2015","Tuscola","45","2","0","0"
"2016","Tuscola","38","0","0","0"
"2017","Tuscola","36","0","0","0"
"2018","Tuscola","35","0","0","0"
"2019","Tuscola","34","0","0","0"
"2020","Tuscola","43","0","0","0"
"2021","Tuscola","34","0","0","0"
"2022","Tuscola","59","0","0","0"
"2023","Tuscola","51","0","0","0"
"2024","Tuscola","55","0","0","0"
"2025","Tuscola","61","0","0","0"
"2010","Washtenaw","317","0","6","45"
"2011","Washtenaw","200","4","0","273"
"2012","Washtenaw","262","2","0","12"
"2013","Washtenaw","394","0","8","356"
"2014","Washtenaw","385","2","0","183"
"2015","Washtenaw","390","0","0","30"
"2016","Washtenaw","438","0","0","0"
"2017","Washtenaw","583","12","40","22"
"2018","Washtenaw","652","10","27","116"
"2019","Washtenaw","608","0","84","123"
"2020","Washtenaw","711","136","21","197"
"2021","Washtenaw","795","26","80","15"
"2022","Washtenaw","603","6","14","33"
"2023","Washtenaw","485","28","4","1080"
"2024","Washtenaw","557","4","72","560"
"2025","Washtenaw","532","6","16","534"
"2010","Wayne","470","32","135","98"
"2011","Wayne","476","16","68","145"
"2012","Wayne","672","4","16","165"
"2013","Wayne","819","82","61","63"
"2014","Wayne","704","10","78","209"
"2015","Wayne","799","6","83","886"
"2016","Wayne","1046","64","44","575"
"2017","Wayne","1170","8","164","1187"
"2018","Wayne","1082","4","46","265"
"2019","Wayne","847","4","28","791"
"2020","Wayne","915","20","16","1045"
"2021","Wayne","1100","12","29","1099"
"2022","Wayne","694","26","104","1557"
"2023","Wayne","956","178","52","718"
"2024","Wayne","1058","268","76","1227"
"2025","Wayne","1210","446","152","2114"
"2010","Wexford","39","0","0","0"
"2011","Wexford","27","0","0","8"
"2012","Wexford","20","0","0","9"
"2013","Wexford","17","0","0","11"
"2014","Wexford","31","0","0","14"
"2015","Wexford","33","0","0","18"
"2016","Wexford","26","0","0","20"
"2017","Wexford","0","0","0","23"
"2018","Wexford","56","0","0","18"
"2019","Wexford","39","0","0","19"
"2020","Wexford","29","0","0","22"
"2021","Wexford","56","0","0","25"
"2022","Wexford","55","0","0","40"
"2023","Wexford","83","0","0","35"
"2024","Wexford","59","0","0","50"
"2025","Wexford","72","0","0","119"
