"","year","period","county_fips","county","footnotes","employment","labor_force","unemployment","unemployment_rate","MI_unemployment_rate","MI_employment_population_ratio","MI_labor_force_participation_rate","AGE16PLUS_TOT","period_date","period_txt","LFPR","EPOP"
"31",2025,"Jun-25","055","Grand Traverse","T Data were subject to revision on May 19, 2026.",53873,56193,2320,4.1,5.2,58.4,61.6,81253.675415323,2025-06-01,"Jun-25",69.1574869847709,66.302231529382
"32",2025,"Jun-25","057","Gratiot","T Data were subject to revision on May 19, 2026.",16667,17735,1068,6,5.2,58.4,61.6,34442.332633748,2025-06-01,"Jun-25",51.4918666763659,48.3910314009017
"33",2025,"Jun-25","059","Hillsdale","T Data were subject to revision on May 19, 2026.",20543,21794,1251,5.7,5.2,58.4,61.6,37069.6633065243,2025-06-01,"Jun-25",58.7920095734029,55.4172824018728
"34",2025,"Jun-25","061","Houghton","T Data were subject to revision on May 19, 2026.",16239,17343,1104,6.4,5.2,58.4,61.6,31823.8241276505,2025-06-01,"Jun-25",54.4969075068867,51.0278083955678
"35",2025,"Jun-25","063","Huron","T Data were subject to revision on May 19, 2026.",13819,14719,900,6.1,5.2,58.4,61.6,25706.6086111147,2025-06-01,"Jun-25",57.2576500567095,53.7566048056029
"36",2025,"Jun-25","065","Ingham","T Data were subject to revision on May 19, 2026.",145265,153760,8495,5.5,5.2,58.4,61.6,242661.803145303,2025-06-01,"Jun-25",63.363907301031,59.8631503257302
"37",2025,"Jun-25","067","Ionia","T Data were subject to revision on May 19, 2026.",30855,32467,1612,5,5.2,58.4,61.6,54583.913228963,2025-06-01,"Jun-25",59.4808947900286,56.5276437227441
"38",2025,"Jun-25","069","Iosco","T Data were subject to revision on May 19, 2026.",9350,10118,768,7.6,5.2,58.4,61.6,21663.7433789241,2025-06-01,"Jun-25",46.7047629905156,43.1596692984108
"39",2025,"Jun-25","071","Iron","T Data were subject to revision on May 19, 2026.",4173,4509,336,7.5,5.2,58.4,61.6,10029.1297042219,2025-06-01,"Jun-25",44.9590356589156,41.6087948114116
"40",2025,"Jun-25","073","Isabella","T Data were subject to revision on May 19, 2026.",29196,31151,1955,6.3,5.2,58.4,61.6,54984.1238734133,2025-06-01,"Jun-25",56.6545355377802,53.0989637430911
"41",2025,"Jun-25","075","Jackson","T Data were subject to revision on May 19, 2026.",71125,75373,4248,5.6,5.2,58.4,61.6,131848.175534731,2025-06-01,"Jun-25",57.1665096572729,53.9446220712129
"42",2025,"Jun-25","079","Kalkaska","T Data were subject to revision on May 19, 2026.",8788,9314,526,5.6,5.2,58.4,61.6,15657.5539704809,2025-06-01,"Jun-25",59.4856643480818,56.1262635055768
"43",2025,"Jun-25","081","Kent","T Data were subject to revision on May 19, 2026.",350565,368247,17682,4.8,5.2,58.4,61.6,540746.017937381,2025-06-01,"Jun-25",68.0998080031434,64.829881010903
"44",2025,"Jun-25","083","Keweenaw","T Data were subject to revision on May 19, 2026.",875,937,62,6.6,5.2,58.4,61.6,1901.13609537155,2025-06-01,"Jun-25",49.2863189690203,46.025111097004
"45",2025,"Jun-25","085","Lake","T Data were subject to revision on May 19, 2026.",4421,4788,367,7.7,5.2,58.4,61.6,11631.4547477628,2025-06-01,"Jun-25",41.164240448263,38.009003137379
"46",2025,"Jun-25","087","Lapeer","T Data were subject to revision on May 19, 2026.",40670,42653,1983,4.6,5.2,58.4,61.6,74478.4318579532,2025-06-01,"Jun-25",57.2689286495031,54.606412870731
"47",2025,"Jun-25","089","Leelanau","T Data were subject to revision on May 19, 2026.",10932,11453,521,4.5,5.2,58.4,61.6,20116.7071521646,2025-06-01,"Jun-25",56.9327768872336,54.3428898045261
"48",2025,"Jun-25","091","Lenawee","T Data were subject to revision on May 19, 2026.",46723,49379,2656,5.4,5.2,58.4,61.6,80476.7553220196,2025-06-01,"Jun-25",61.3580900502449,58.0577581850096
"49",2025,"Jun-25","093","Livingston","T Data were subject to revision on May 19, 2026.",97576,101348,3772,3.7,5.2,58.4,61.6,164710.993284626,2025-06-01,"Jun-25",61.5308049444322,59.2407331497209
"50",2025,"Jun-25","095","Luce","T Data were subject to revision on May 19, 2026.",2164,2333,169,7.2,5.2,58.4,61.6,5487.99017109136,2025-06-01,"Jun-25",42.511009081054,39.4315575016721
"51",2025,"Jun-25","097","Mackinac","T Data were subject to revision on May 19, 2026.",5918,6180,262,4.2,5.2,58.4,61.6,9742.803078286,2025-06-01,"Jun-25",63.4314370345173,60.7422725518242
"52",2025,"Jun-25","099","Macomb","T Data were subject to revision on May 19, 2026.",427189,448540,21351,4.8,5.2,58.4,61.6,730564.680492888,2025-06-01,"Jun-25",61.3963434007493,58.4738095621855
"53",2025,"Jun-25","101","Manistee","T Data were subject to revision on May 19, 2026.",10699,11420,721,6.3,5.2,58.4,61.6,22128.9048355235,2025-06-01,"Jun-25",51.6067111539451,48.3485291275008
"54",2025,"Jun-25","103","Marquette","T Data were subject to revision on May 19, 2026.",31452,33445,1993,6,5.2,58.4,61.6,58391.1918870008,2025-06-01,"Jun-25",57.2774744258056,53.8642884030629
"55",2025,"Jun-25","105","Mason","T Data were subject to revision on May 19, 2026.",12636,13445,809,6,5.2,58.4,61.6,24565.9264061609,2025-06-01,"Jun-25",54.7302787515805,51.4370994648547
"56",2025,"Jun-25","107","Mecosta","T Data were subject to revision on May 19, 2026.",16489,17746,1257,7.1,5.2,58.4,61.6,35492.8986185694,2025-06-01,"Jun-25",49.9987340868113,46.4571805678706
"57",2025,"Jun-25","109","Menominee","T Data were subject to revision on May 19, 2026.",10805,11355,550,4.8,5.2,58.4,61.6,19747.6277157658,2025-06-01,"Jun-25",57.5005776057575,54.7154329396926
"58",2025,"Jun-25","111","Midland","T Data were subject to revision on May 19, 2026.",41062,43278,2216,5.1,5.2,58.4,61.6,69194.8794238111,2025-06-01,"Jun-25",62.5450905621599,59.3425414451548
"59",2025,"Jun-25","113","Missaukee","T Data were subject to revision on May 19, 2026.",7053,7458,405,5.4,5.2,58.4,61.6,12434.1501538738,2025-06-01,"Jun-25",59.9799737634383,56.7228150916506
"60",2025,"Jun-25","115","Monroe","T Data were subject to revision on May 19, 2026.",74321,78585,4264,5.4,5.2,58.4,61.6,128744.83938276,2025-06-01,"Jun-25",61.0393398110242,57.7273623986146
"61",2025,"Jun-25","117","Montcalm","T Data were subject to revision on May 19, 2026.",30460,32185,1725,5.4,5.2,58.4,61.6,57653.4212171936,2025-06-01,"Jun-25",55.8249611566879,52.832944440973
"62",2025,"Jun-25","119","Montmorency","T Data were subject to revision on May 19, 2026.",3642,3918,276,7,5.2,58.4,61.6,8699.85995413171,2025-06-01,"Jun-25",45.0352077005478,41.8627428395598
"63",2025,"Jun-25","121","Muskegon","T Data were subject to revision on May 19, 2026.",81936,87177,5241,6,5.2,58.4,61.6,144288.150134987,2025-06-01,"Jun-25",60.4186829746188,56.7863680581846
"64",2025,"Jun-25","123","Newaygo","T Data were subject to revision on May 19, 2026.",22207,23546,1339,5.7,5.2,58.4,61.6,42359.0307469636,2025-06-01,"Jun-25",55.5867298774013,52.4256566035611
"65",2025,"Jun-25","125","Oakland","T Data were subject to revision on May 19, 2026.",658553,685844,27291,4,5.2,58.4,61.6,1077457.57106147,2025-06-01,"Jun-25",63.6539218267624,61.1210146633635
"66",2025,"Jun-25","127","Oceana","T Data were subject to revision on May 19, 2026.",12044,12905,861,6.7,5.2,58.4,61.6,22396.2254304129,2025-06-01,"Jun-25",57.6213167709754,53.7769189608391
"67",2025,"Jun-25","129","Ogemaw","T Data were subject to revision on May 19, 2026.",7454,8112,658,8.1,5.2,58.4,61.6,17898.2118875066,2025-06-01,"Jun-25",45.3229632713331,41.6466183708724
"68",2025,"Jun-25","131","Ontonagon","T Data were subject to revision on May 19, 2026.",2280,2468,188,7.6,5.2,58.4,61.6,5241.0229303522,2025-06-01,"Jun-25",47.090043924577,43.5029579205979
"69",2025,"Jun-25","133","Osceola","T Data were subject to revision on May 19, 2026.",9616,10340,724,7,5.2,58.4,61.6,19215.2211779121,2025-06-01,"Jun-25",53.8115065356928,50.0436602366752
"70",2025,"Jun-25","135","Oscoda","T Data were subject to revision on May 19, 2026.",2417,2674,257,9.6,5.2,58.4,61.6,7231.10227808414,2025-06-01,"Jun-25",36.9791478140794,33.4250561954487
"71",2025,"Jun-25","137","Otsego","T Data were subject to revision on May 19, 2026.",11978,12714,736,5.8,5.2,58.4,61.6,21652.5235113958,2025-06-01,"Jun-25",58.7183290359138,55.3191871316797
"72",2025,"Jun-25","139","Ottawa","T Data were subject to revision on May 19, 2026.",158671,166430,7759,4.7,5.2,58.4,61.6,249722.882142879,2025-06-01,"Jun-25",66.6458750483174,63.5388309787392
"73",2025,"Jun-25","141","Presque Isle","T Data were subject to revision on May 19, 2026.",4499,4910,411,8.4,5.2,58.4,61.6,11536.4002009785,2025-06-01,"Jun-25",42.5609368127117,38.9983003503849
"74",2025,"Jun-25","143","Roscommon","T Data were subject to revision on May 19, 2026.",8736,9488,752,7.9,5.2,58.4,61.6,21229.2010991362,2025-06-01,"Jun-25",44.6931561658534,41.1508655422529
"75",2025,"Jun-25","145","Saginaw","T Data were subject to revision on May 19, 2026.",80192,85823,5631,6.6,5.2,58.4,61.6,152909.535404227,2025-06-01,"Jun-25",56.1266501615619,52.4440806049191
"76",2025,"Jun-25","151","Sanilac","T Data were subject to revision on May 19, 2026.",17760,19065,1305,6.8,5.2,58.4,61.6,33216.8486209168,2025-06-01,"Jun-25",57.3955711981499,53.4668420917463
"77",2025,"Jun-25","153","Schoolcraft","T Data were subject to revision on May 19, 2026.",3380,3647,267,7.3,5.2,58.4,61.6,6996.28541879512,2025-06-01,"Jun-25",52.1276617760983,48.311350919444
"78",2025,"Jun-25","155","Shiawassee","T Data were subject to revision on May 19, 2026.",32445,34340,1895,5.5,5.2,58.4,61.6,55964.4444129956,2025-06-01,"Jun-25",61.3603875821303,57.9743091177117
"79",2025,"Jun-25","147","St. Clair","T Data were subject to revision on May 19, 2026.",73162,76881,3719,4.8,5.2,58.4,61.6,133244.914119092,2025-06-01,"Jun-25",57.6990127602806,54.9079118581659
"80",2025,"Jun-25","157","Tuscola","T Data were subject to revision on May 19, 2026.",23703,25323,1620,6.4,5.2,58.4,61.6,43855.3241824301,2025-06-01,"Jun-25",57.7421338733263,54.0481696165325
"81",2025,"Jun-25","161","Washtenaw","T Data were subject to revision on May 19, 2026.",197818,207897,10079,4.8,5.2,58.4,61.6,315977.336718501,2025-06-01,"Jun-25",65.7949086346063,62.6051229035558
"82",2025,"Jun-25","163","Wayne","T Data were subject to revision on May 19, 2026.",766619,813169,46550,5.7,5.2,58.4,61.6,1402367.8101151,2025-06-01,"Jun-25",57.9854296522436,54.666043706257
"83",2025,"Jun-25","165","Wexford","T Data were subject to revision on May 19, 2026.",14686,15644,958,6.1,5.2,58.4,61.6,28019.0239439341,2025-06-01,"Jun-25",55.8334938122882,52.4143882720062
"84",2025,"Jul-25","077","Kalamazoo","T Data were subject to revision on May 19, 2026.",131897,139396,7499,5.4,5.7,58.3,61.9,217563.716282874,2025-07-01,"Jul-25",64.0713453426944,60.6245389872404
"85",2025,"Jul-25","021","Berrien","T Data were subject to revision on May 19, 2026.",73469,77906,4437,5.7,5.7,58.3,61.9,125145.652937761,2025-07-01,"Jul-25",62.2522622010252,58.7067934645229
"86",2025,"Jul-25","023","Branch","T Data were subject to revision on May 19, 2026.",21805,22982,1177,5.1,5.7,58.3,61.9,37079.9422650956,2025-07-01,"Jul-25",61.9796002801051,58.8053774304974
"87",2025,"Jul-25","025","Calhoun","T Data were subject to revision on May 19, 2026.",60817,65177,4360,6.7,5.7,58.3,61.9,107788.047221488,2025-07-01,"Jul-25",60.4677435764945,56.4227681711596
"88",2025,"Jul-25","027","Cass","T Data were subject to revision on May 19, 2026.",22925,24380,1455,6,5.7,58.3,61.9,42901.2912052566,2025-07-01,"Jul-25",56.8281264154884,53.4366201015205
